"Name","SpIndex","AcceptedName","Species","Genus","Family","Order","Group","GrowthForm","LifeForm","LeafShape","LeafSize","PhenologyType","DispersalType","Hmed","Hmax","Dmax","Z50","Z95","fHDmin","fHDmax","a_ash","b_ash","a_bsh","b_bsh","a_btsh","b_btsh","cr","BTsh","a_fbt","b_fbt","c_fbt","a_cr","b_1cr","b_2cr","b_3cr","c_1cr","c_2cr","a_cw","b_cw","a_bt","b_bt","LeafDuration","t0gdd","Sgdd","Tbgdd","Ssen","Phsen","Tbsen","xsen","ysen","SLA","LeafDensity","WoodDensity","FineRootDensity","conduit2sapwood","r635","pDead","Al2As","Ar2Al","LeafWidth","SRL","RLD","maxFMC","minFMC","LeafPI0","LeafEPS","LeafAF","StemPI0","StemEPS","StemAF","SAV","HeatContent","LigninPercent","LeafAngle","LeafAngleSD","ClumpingIndex","gammaSWR","alphaSWR","kPAR","g","Tmax_LAI","Tmax_LAIsq","Psi_Extract","Exp_Extract","WUE","WUE_par","WUE_co2","WUE_vpd","Gswmin","Gswmax","Gsw_AC_slope","Gs_Toptim","Gs_Tsens","Gs_P50","Gs_slope","VCleaf_kmax","VCleaf_P12","VCleaf_P50","VCleaf_P88","VCleaf_slope","Kmax_stemxylem","VCstem_P12","VCstem_P50","VCstem_P88","VCstem_slope","Kmax_rootxylem","VCroot_P12","VCroot_P50","VCroot_P88","VCroot_slope","Vmax298","Jmax298","Nleaf","Nsapwood","Nfineroot","WoodC","RERleaf","RERsapwood","RERfineroot","CCleaf","CCsapwood","CCfineroot","RGRleafmax","RGRsapwoodmax","RGRcambiummax","RGRfinerootmax","SRsapwood","SRfineroot","RSSG","MortalityBaselineRate","SurvivalModelStep","SurvivalB0","SurvivalB1","SeedProductionHeight","SeedProductionDiameter","SeedMass","SeedLongevity","DispersalDistance","DispersalShape","ProbRecr","MinTempRecr","MinMoistureRecr","MinFPARRecr","RecrTreeDBH","RecrTreeHeight","RecrShrubHeight","RecrTreeDensity","RecrShrubCover","RecrZ50","RecrZ95","RespFire","RespDist","RespClip","IngrowthTreeDensity","IngrowthTreeDBH"
"Acacia dealbata",10,"Acacia dealbata","Acacia dealbata","Acacia","Fabaceae","Fabales","Angiosperm","Tree","Phanerophyte","Broad","Medium","winter-deciduous","vertebrate",1125,3300,NA,NA,2500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.1296605453534,NA,0.71,NA,0.755,2.358,NA,4776.130138,NA,0.05,NA,NA,122.658276,28.971454,NA,NA,NA,NA,NA,NA,NA,21958.97088,NA,41.186,24.534577288496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.695,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.500515,120.0791734,35,NA,31.42,0.45172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acanthus",11,"Acanthus",NA,"Acanthus","Acanthaceae","Lamiales","Angiosperm","Herb","Cryptophyte","Broad","Large","oneflush-evergreen","wind",200,300,NA,NA,495.670988228936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.099999999958,NA,NA,NA,NA,NA,NA,NA,NA,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.15641998,47.69842206,20.533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acanthus mollis",12,"Acanthus mollis","Acanthus mollis","Acanthus","Acanthaceae","Lamiales","Angiosperm","Herb","Cryptophyte","Broad","Large","oneflush-evergreen","wind",50,50,NA,NA,495.670988228936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acer",13,"Acer",NA,"Acer","Sapindaceae","Sapindales","Angiosperm","Tree","Phanerophyte","Broad","Large","winter-deciduous","auto",243.8,4100,90,NA,4811.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.51892067440224,0.5285,NA,NA,0.5,82.6,199.3,3.22,1.2,11,10,1,0,32.015957778,0.438035947095,0.59,NA,0.82,2.12117851349108,NA,7712.5,NA,8,2925.376505,NA,312.6,89.55,-1.30732178217822,5.274,0.1,NA,NA,NA,NA,13306.08232,9.91,29,18.1256195571231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00404180610025,0.342574717467036,NA,NA,NA,-0.905325262907724,NA,NA,-1.13,-1.65,-2.22,66.66666667,0.64,-3.83,-4.29,-4.1855,77,NA,-0.723,-1.395,-2.1,53.684391,30.3828571428571,67.77,22,3.3,10,0.4866,NA,NA,NA,1.488,1.37,1.25,NA,NA,NA,NA,NA,NA,0.95,NA,NA,NA,NA,NA,15.3977918353728,44.81,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acer campestre",14,"Acer campestre","Acer campestre","Acer","Sapindaceae","Sapindales","Angiosperm","Tree","Phanerophyte","Broad","Large","winter-deciduous","vertebrate",1450,2500,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.048475,1.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.524572908878326,0.858532607555389,0.508333333333333,NA,NA,NA,NA,NA,NA,NA,NA,11.478,0.286105177665621,0.55181883773161,NA,NA,1.86944312165802,NA,NA,NA,7.5,756.64445651087,NA,NA,NA,-1.5,7.9,0.1,NA,NA,NA,NA,NA,NA,50.755,15.403227276834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002296,0.15,NA,NA,NA,NA,NA,NA,NA,-1.32,NA,NA,0.43,-4.87,-5.74,-4.599534483,44,NA,NA,NA,NA,NA,NA,NA,20.25,NA,12.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.95,NA,NA,NA,NA,NA,NA,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acer monspessulanum",15,"Acer monspessulanum","Acer monspessulanum","Acer","Sapindaceae","Sapindales","Angiosperm","Tree","Phanerophyte","Broad","Medium","winter-deciduous","wind",1000,1800,NA,NA,4811.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.541542768478394,0.788916230201721,0.483333333333333,NA,NA,NA,NA,NA,NA,NA,NA,12.6,0.611381249107982,0.89,NA,NA,2.37291390532414,NA,3402.45800887321,NA,4.5,NA,NA,223.450805309722,162.542552311436,-3.4,NA,NA,NA,NA,NA,NA,NA,NA,15.945,14.7956050302133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.89,NA,NA,0.44692145,-5.73,-6.74,-4.604836825,49.6,NA,-0.862159242,-1.57,-2.277840758,53.684391,NA,NA,19.8,NA,NA,NA,NA,NA,NA,1.52,NA,NA,NA,NA,NA,NA,NA,NA,0.831,NA,NA,NA,NA,NA,NA,32.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acer negundo",16,"Acer negundo","Acer negundo","Acer","Sapindaceae","Sapindales","Angiosperm","Tree","Phanerophyte","Broad","Large","winter-deciduous","wind",900,3000,100,NA,3657.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0515,1.5198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.043478261,0.862665357699143,0.405630707974458,NA,NA,NA,NA,8062.25806451613,NA,4.5,1628.27941176471,NA,217.451232827399,169.806996957724,-1.66711447434691,NA,NA,NA,NA,NA,NA,13820.71432,NA,60.771,17.4946544895325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00239581240780372,0.409449434934072,NA,NA,NA,-0.210650525815448,NA,NA,NA,NA,NA,NA,1.95,-0.98,-1.5,-2.46,76,NA,NA,-0.3,NA,NA,NA,NA,27,NA,16.44802451,0.4867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.95,NA,NA,NA,NA,NA,17.0446009389671,36,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acer opalus subsp. obtusatum",17,"Acer opalus  subsp. obtusatum","Acer opalus","Acer","Sapindaceae","Sapindales","Angiosperm","Tree","Phanerophyte","Broad","Large","winter-deciduous","wind",1000,2000,NA,NA,4811.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acer opalus subsp. opalus",18,"Acer opalus","Acer opalus","Acer","Sapindaceae","Sapindales","Angiosperm","Tree","Phanerophyte","Broad","Large","winter-deciduous","wind",1000,2000,NA,NA,4811.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.505662977695465,0.660250067710876,0.5,NA,NA,NA,NA,NA,NA,NA,NA,20.372236756,NA,0.7225,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.18,-3.83,-4.4,-3.781590909,88,NA,NA,NA,NA,NA,NA,NA,17.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.95,NA,NA,NA,NA,NA,NA,95.4465909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acer platanoides",19,"Acer platanoides","Acer platanoides","Acer","Sapindaceae","Sapindales","Angiosperm","Tree","Phanerophyte","Broad","Large","winter-deciduous","wind",2000,3500,150,NA,1014.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.029085,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.501066494197649,NA,NA,NA,NA,NA,NA,NA,NA,17.49,0.376,0.52521,NA,NA,NA,NA,NA,NA,15,1938.508677,NA,NA,NA,-1.35532178217822,NA,NA,NA,NA,NA,NA,10692.8396,NA,24.444,16.5910883818101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6725,-3.68,-4.18,-3.4930252525,99,NA,NA,NA,NA,NA,27.06,NA,23.3125,NA,9.326929059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.95,NA,NA,NA,NA,NA,20.3915586066616,134.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acer pseudoplatanus",20,"Acer pseudoplatanus","Acer pseudoplatanus","Acer","Sapindaceae","Sapindales","Angiosperm","Tree","Phanerophyte","Broad","Large","winter-deciduous","auto",440,4000,80,NA,2090.625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02493,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,82.6,199.3,3.22,1.2,11,10,1,0,13.914081146,0.345584831572166,0.51,NA,0.867,NA,NA,NA,NA,11.5,2557.4038415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.608,17.2584662445706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0039785,0.2757,NA,NA,NA,NA,NA,NA,NA,-1.19,NA,NA,0.6175,-2.64,-3.13,-2.710598039,77,NA,NA,NA,NA,NA,56.405,120.48,25,NA,9.988,0.468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.95,NA,NA,NA,NA,NA,16.1986824769433,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
